#{"t_start": 1739436358.2396371, "env_id": "None"}
r,l,t
17.639042,24,1.259683
18.000086,16,1.535838
15.383939,20,1.87671
17.493964,14,2.125508
19.287914,17,2.440401
16.404771,18,2.755653
-121.748994,35,3.34924
15.473076,11,3.58515
17.39152,12,3.795681
13.899457,15,4.058641
-115.038001,35,4.643176
-129.449496,35,5.200641
15.244109,22,5.57887
15.407306,12,5.791688
10.43045,14,6.038284
16.419301,16,6.31224
14.694971,14,6.552088
14.64901,30,7.067614
15.833801,13,7.301712
16.052995,14,7.553506
-125.341699,35,8.131772
-117.510396,35,8.71925
16.323142,14,9.010677
18.992923,15,9.278001
-88.707581,16,9.556354
-124.580314,35,10.113283
-109.562316,17,10.393393
-119.75498,35,10.963537
-118.053547,35,11.547867
13.572204,17,11.846917
20.916014,12,12.065126
16.977436,13,12.296639
17.372502,21,12.657928
20.330923,11,12.858503
17.20788,13,13.088967
17.281067,13,13.323141
16.166396,13,13.558662
15.715205,13,13.781726
9.589801,17,14.063652
-124.626017,35,14.646561
15.290875,13,14.874128
13.737584,18,15.18033
-122.738923,35,15.742637
17.76912,23,16.127225
-126.207533,35,16.68353
14.131777,14,16.97803
9.424807,18,17.287231
19.71244,13,17.523658
18.038556,21,17.891241
-111.773443,13,18.110137
-86.152405,16,18.3795
-125.007413,35,18.98116
-122.873462,35,19.549128
19.640277,12,19.760625
16.496593,14,19.997238
-114.113308,13,20.210074
19.922209,13,20.438664
-120.669577,35,21.011617
14.506308,12,21.22223
-117.685468,35,21.789454
8.781933,26,22.210485
-119.651019,35,22.774908
-119.299133,35,23.34599
18.759105,12,23.561146
19.320271,12,23.775657
18.178992,10,23.954973
14.440595,18,24.268818
19.609298,13,24.502913
15.871775,11,24.743281
13.144787,35,25.328162
20.004816,14,25.567193
17.881321,16,25.845431
-117.196641,35,26.428882
20.036661,13,26.668211
13.593263,26,27.106003
-126.824607,35,27.696593
19.756596,14,27.950473
18.418565,15,28.217763
12.051306,14,28.459706
17.550977,15,28.728657
12.652162,15,29.033186
16.833791,12,29.247518
12.293309,15,29.509717
-124.387415,35,30.08131
-112.961582,35,30.64971
17.059486,15,30.908974
-115.137809,35,31.513638
13.181134,12,31.727951
-114.715104,35,32.305149
-121.139484,35,32.87002
-126.199853,35,33.44865
12.512416,19,33.77418
-114.226935,35,34.358622
13.988354,12,34.573448
13.722465,14,34.81908
19.590335,12,35.034981
13.362403,16,35.313231
14.483962,14,35.55738
18.675858,21,36.176525
17.183808,17,36.453073
18.230338,18,36.774723
17.004288,12,37.025482
18.285678,12,37.232721
13.305199,20,37.567142
10.9723,20,37.909711
14.228731,15,38.175661
17.502831,21,38.542285
-120.886708,35,39.123019
15.309178,13,39.412484
18.601302,12,39.629644
18.422692,14,39.868048
14.56821,12,40.086714
-117.849253,35,40.671615
12.634102,16,40.946773
14.224527,14,41.196128
-122.995145,35,41.796692
16.6018,14,42.048598
14.629627,14,42.286851
15.581276,15,42.54877
15.443134,17,42.833152
13.275555,14,43.079633
11.308225,14,43.322706
11.947727,19,43.643681
12.188536,11,43.838443
16.949341,16,44.113433
10.134639,15,44.368885
-117.064025,35,44.93204
-117.896323,35,45.504098
21.765623,6,45.625185
-109.749561,35,46.216116
18.078139,9,46.386371
19.566241,14,46.649084
12.761479,15,46.917702
-119.921842,35,47.493217
18.069446,14,47.737233
17.445077,9,47.89793
21.94966,7,48.033371
13.464023,17,48.325524
19.410532,16,48.606252
13.541967,14,48.852162
9.534208,18,49.159081
-119.749627,35,49.729191
16.054811,27,50.196717
16.467038,10,50.377056
-113.213939,14,50.623215
11.7294,17,50.918561
12.531409,13,51.145623
15.893364,13,51.374511
16.07819,12,51.58966
15.20233,11,51.785583
15.899736,17,52.080102
13.850752,16,52.354105
16.074927,11,52.548791
15.879247,13,52.779157
13.152792,14,53.025231
13.040649,13,53.25372
15.859761,20,53.594131
13.58814,18,53.916069
13.839729,14,54.162696
-123.994488,35,54.733777
10.252359,15,55.040968
13.777214,15,55.317226
13.637991,19,55.647933
-124.879448,35,56.240636
-120.825339,35,56.815845
13.152275,16,57.10558
-113.17746,19,57.428872
12.94413,12,57.638563
14.838636,20,57.973159
10.531673,19,58.289215
13.143531,18,58.635161
16.314553,14,58.877563
17.627367,14,59.122843
15.279342,14,59.365711
11.896348,15,59.626673
12.374906,14,59.867937
18.792313,12,60.089006
14.581844,16,60.363132
-125.797386,35,60.945148
-113.988306,35,61.522186
-118.432178,35,62.089591
15.606458,14,62.334352
-111.605007,17,62.605617
-117.511675,35,63.177459
16.311887,14,63.42969
15.044561,11,63.628937
14.375153,13,63.862135
20.186536,12,64.077651
-118.388111,35,64.653243
20.712165,12,64.867844
19.547848,15,65.143554
20.623949,12,65.387306
-118.341751,35,65.96983
20.766713,13,66.210076
18.835939,13,66.436134
22.696744,6,66.549212
15.987838,25,66.977983
14.53676,13,67.211721
15.915956,17,67.524302
17.729268,20,67.87277
16.884883,12,68.086664
15.0256,23,68.477738
14.668209,31,69.014493
18.463543,11,69.258873
14.43052,20,69.603101
14.715772,25,70.025928
16.802664,16,70.301185
-119.258648,35,70.861302
16.293345,24,71.254097
14.854096,11,71.448514
-126.641089,35,72.108644
16.846259,17,72.405222
17.412952,17,72.692158
17.748203,13,72.923169
13.339335,11,73.116813
18.387088,13,73.352351
15.219713,18,73.660524
-127.316256,35,74.225466
15.990019,13,74.456916
-122.472191,35,75.030659
16.216408,11,75.230133
-126.401933,35,75.819833
10.117386,16,76.105408
19.930511,15,76.370821
19.867036,15,76.645763
-115.021867,35,77.227412
15.283904,13,77.456813
-121.274221,35,78.045242
14.262178,15,78.319978
12.402006,14,78.569988
17.565115,12,78.794469
19.747771,13,79.045353
13.522293,29,79.547036
-124.015951,35,80.124677
18.601832,12,80.339229
11.164614,13,80.567024
13.371271,16,80.84239
11.22325,18,81.156422
18.466036,14,81.398105
17.510391,15,81.662704
14.815591,13,81.899203
-116.51974,35,82.491342
16.031081,13,82.732817
15.902561,12,82.946124
17.978906,12,83.17201
-119.125528,35,83.767197
16.339158,15,84.029707
-120.643046,35,84.607079
10.757606,19,84.926255
14.700382,17,85.209898
14.059961,14,85.453642
20.051246,11,85.65569
-122.721907,35,86.225332
-122.553844,35,86.800797
-130.496825,35,87.376058
14.478243,14,87.621635
-115.68478,35,88.242707
14.419027,16,88.509638
15.170178,11,88.699743
13.796632,12,88.909215
14.655668,16,89.180768
19.494771,13,89.413756
18.853327,15,89.68075
12.657349,15,89.945612
18.291175,12,90.155785
16.699371,9,90.322794
20.350614,14,90.577955
10.562464,20,90.921866
13.884327,14,91.184191
15.226569,19,91.516568
17.088188,19,91.863916
-122.671732,35,92.448425
13.586791,13,92.685179
13.280515,14,92.93964
-125.787756,35,93.515436
15.337139,13,93.748742
16.33902,21,94.103121
18.783465,11,94.302163
17.801559,14,94.556659
15.106201,14,94.81116
18.254388,12,95.018709
20.362777,12,95.237532
15.901756,19,95.612047
-118.041433,35,96.205221
-84.12606,13,96.439969
16.477107,13,96.663159
16.209382,15,96.933432
17.170876,16,97.207456
-115.490296,35,97.810026
-124.06732,35,98.390775
11.706411,15,98.659474
13.679361,14,98.911665
13.091388,13,99.140543
10.182975,14,99.384485
-121.577388,35,99.970051
14.649867,17,100.255433
-114.031272,35,100.836779
-116.366573,35,101.464932
